x,y,elevation,slope,aspect,flow_direction
0,0,105.24503296839791,40.14233165257005,170.09740383665886,4
1,0,105.10000034415417,45.5058218217327,162.52963154293585,4
2,0,104.63391179512202,19.969548902481186,84.27284497303128,1
3,0,104.3768909897252,19.26272233736363,126.24319833864028,2
4,0,104.07021476782478,23.793408948657248,145.70484627729954,2
5,0,103.88001826879034,10.731709033888878,225.93992380346265,8
6,0,104.34260457958052,56.570992347834455,175.41748891899087,4
7,0,103.63795179075326,46.277529074702265,126.47555728990483,2
8,0,102.66101820802021,37.71399821406007,90.52357411492534,1
9,0,102.09146003774968,25.870528661136056,72.1776640109635,1
10,0,101.73768561756732,39.212601169694224,132.19159980833638,2
11,0,100.8823856691204,44.38245263888538,106.8419040427638,1
12,0,99.86429519800352,50.991438183570565,110.47822235758359,1
13,0,98.56937623729527,50.7247319922398,89.85789807555467,1
14,0,97.41862710272909,48.03751877792167,102.7323559309096,1
15,0,96.39991539688717,45.76415730016639,105.2903310531739,1
16,0,95.43726468011725,47.61513663302572,112.24900856890929,1
17,0,94.37163282544601,27.552375030676743,59.154630139796645,128
18,0,94.54139871759463,13.035325520675315,204.2507562419839,8
19,0,94.56181575961622,28.162910975511515,218.6610760399855,8
20,0,95.21029338440762,48.31068054432929,234.55405958561863,8
21,0,96.39121778271729,59.30943793155803,203.00724979104697,8
22,0,96.52731228134584,40.29275698387608,200.23900842620054,4
23,0,96.97781937051738,38.980503605662406,224.73765239455187,8
24,0,97.6664712363711,26.323871210162046,241.61682477785104,8
25,0,97.84836854511481,40.342814101031166,189.39576148349255,4
26,0,97.9437881450357,14.960710378817742,192.08209788980196,4
27,0,97.9602314473341,20.256147863187987,195.6127721818091,4
28,0,98.14243169685408,39.44735356718443,158.28856857424844,4
29,0,97.35147534879424,20.11061893177723,59.90485547662191,128
30,0,97.50883599745913,23.015551421917674,161.8495445848732,4
31,0,97.08681661240118,8.647875767127058,135.10290967593204,2
32,0,97.29413409135512,25.472220227121184,174.5706775768091,4
33,0,96.99666845721636,6.24794614919574,22.08546464421896,64
34,0,97.21180634148686,13.70463714992592,271.36206945835164,16
35,0,97.4842495853736,29.138902037010553,233.0203194740114,8
36,0,98.10249490250501,41.25934751750513,215.71856437231642,8
37,0,98.50855189236646,27.07214190232711,199.35213658938991,4
38,0,98.44123272045792,15.40231575147355,223.85677562856918,8
39,0,98.8903019505917,20.676169089454596,195.69896453823003,4
40,0,98.64546516327364,21.11669900778225,91.98116606936712,1
41,0,98.11835811629417,30.790921795472162,120.4695864242819,2
42,0,97.61824612531626,40.375378840182904,123.59308584576718,2
43,0,96.70173537133546,38.73329852228021,124.22015038515791,2
44,0,96.29175123572186,50.07542994159797,134.3925490532479,2
45,0,94.99400697154238,57.92873718053811,130.45783705482125,2
46,0,93.86314115297898,40.50279987135391,111.77923734485083,1
47,0,93.4076166089947,22.989859146307438,132.62692714888865,2
48,0,93.23880928743881,22.802828620942297,155.67075923473942,2
49,0,93.06120832412154,43.07746586260094,169.0508220325407,4
0,1,104.41425576228983,35.134673478540186,156.0986145827121,2
1,1,104.12913549100416,24.444819921526438,196.34959947577838,4
2,1,104.67017282182063,23.594707668483096,182.69979113371775,4
3,1,104.17028255169015,33.906959088504415,134.17079175540735,2
4,1,103.70595450300826,22.942828968903438,150.09648692421166,2
5,1,103.74822012043263,29.130864062032547,128.40705007653725,2
6,1,102.8325371161472,40.00304040066022,154.14749492547432,2
7,1,103.01635246967604,36.12955357423841,172.97409612134746,4
8,1,102.65395201923228,22.162099004258295,107.60931974454182,1
9,1,102.23988342085572,36.261533716068136,93.54932882624651,1
10,1,101.18968625439803,40.483516623070464,105.99797905422305,1
11,1,100.5988330352032,43.540813284562624,112.3951225524574,1
12,1,99.43239675794709,45.99281802801671,101.84878292293018,1
